actor_loss,adjusted_no_steps,buffer_size,critic_loss,episode_num,episode_reward,eplenmean,eprewmean,fps,nupdates,sampling_loop,total_timesteps
-7.93057627989867,107,97413,1.968718361631732,8810,129.34310102384654,107.0,97.6890264,20,97413,2,97413
-8.243320712021418,112,98471,2.012621701828071,8820,57.00437828997682,112.2,78.4400284,20,98471,2,98471
-8.505613579678892,134,99629,2.2116081314300424,8830,43.47671294190091,134.0,123.2252906,20,99629,2,99629
-9.064293837547302,200,100597,2.54528963804245,8840,174.47677425522104,98.0,136.016021,13,100597,2,100597
-9.491911225318908,200,101612,2.9603900718688965,8850,41.17457069626763,105.6,95.9107208,13,101612,2,101612
-9.838752765655517,200,102682,3.328276195526123,8860,30.078221265535486,103.2,141.94287079999998,13,102682,2,102682
-10.774020295143128,200,103703,3.42066397190094,8870,38.945676189601286,90.8,58.62563299999999,14,103703,2,103703
-11.978130555152893,200,104589,4.034877489805222,8880,174.16832491753505,102.2,142.2886038,14,104589,2,104589
-12.808521280288696,200,105355,4.6219997727870945,8890,117.88006396401785,76.8,116.25381560000001,14,105355,2,105355
-14.14156611442566,200,106463,4.936492598056793,8900,135.27589231571602,130.8,152.1398272,14,106463,2,106463
-15.056737146377564,200,108211,5.47150367975235,8910,45.26926637984265,149.6,119.50349820000001,14,108211,2,108211
-16.867719140052795,200,108974,5.868153663873673,8920,142.13008801031106,82.0,101.10462720000001,14,108974,2,108974
-17.797954587936403,200,109883,6.006042997837067,8930,17.933495156398912,80.2,31.7293044,14,109883,2,109883
-18.904442167282106,200,110643,5.932497860193252,8940,44.97925400109035,83.2,48.364314199999995,11,110643,2,110643
-19.936476602554322,200,111712,6.023048576116562,8950,47.27208483240414,107.8,67.0014596,11,111712,2,111712
-21.19914999961853,200,112350,6.239565399885177,8960,30.008696697247945,37.2,29.6776604,11,112350,2,112350
-21.63307914733887,200,112708,6.5296366441249845,8970,32.458952632047,36.4,20.9012224,11,112708,2,112708
-22.459062767028808,200,112808,7.446771498918533,8980,1.899626849213891,10.0,1.1492423999999999,11,112808,2,112808
-23.248400173187257,200,113243,7.387442514896393,8990,2.6342747785820824,49.6,26.1824144,11,113243,2,113243
-24.115478925704956,200,113701,8.045307240486146,9000,-16.42687351766881,61.6,39.7197522,11,113701,2,113701
-24.709740686416627,200,114417,8.317829024791717,9010,27.98347899401625,66.4,43.0067892,11,114417,3,114417
-25.46920904159546,200,115252,8.683066208362579,9020,6.767252011739319,76.0,57.17264619999999,11,115252,3,115252
-25.982825746536253,200,116376,8.991051180362701,9030,251.9215142583515,105.2,103.0234518,11,116376,3,116376
-26.54126406669617,200,117339,9.122216069698334,9040,234.3169334550291,100.6,121.78701240000001,11,117339,3,117339
-27.074295558929443,200,118153,9.428382008075713,9050,121.93878070920383,67.0,100.199437,11,118153,3,118153
-27.73665687561035,200,118842,9.657161657810212,9060,140.44513855973682,57.2,105.86660220000002,11,118842,3,118842
-28.539119911193847,200,119755,10.382083330154419,9070,100.65314148189043,95.6,128.19551719999998,11,119755,3,119755
-29.075376520156862,200,120582,10.913940029144287,9080,154.68303570346316,91.4,126.771514,9,120582,3,120582
-29.795508670806885,200,121188,10.907125458717346,9090,112.82632232912819,61.0,116.4250816,9,121188,3,121188
-30.59824287414551,200,121942,11.67728392124176,9100,116.22145895077702,68.4,129.4238318,9,121942,3,121942
-31.388951425552367,200,122566,12.192645792961121,9110,136.90686793855375,56.8,103.61030740000001,9,122566,3,122566
-32.37684728622437,200,123369,11.504577598571778,9120,146.50719859522582,79.8,156.1462424,9,123369,3,123369
-33.078684883117674,200,123972,12.41573218345642,9130,89.4693030909346,58.4,119.9178476,9,123972,3,123972
-33.891019134521486,200,124569,12.655756649971009,9140,37.16902012114094,54.8,71.70553299999999,9,124569,3,124569
-34.67784261703491,200,125160,14.509192900657654,9150,107.65585576946332,58.0,91.98079820000001,9,125160,3,125160
-35.3049003982544,200,125711,13.765350606441498,9160,84.4113066127682,64.0,111.79580940000001,9,125711,3,125711
-35.97784870147705,200,126218,13.93550110578537,9170,58.746425553117604,64.2,88.9379606,9,126218,3,126218
